DateTime;Players;Average Players
2011-11-30;680;
2011-12-01;;
2011-12-02;;
2011-12-03;;
2011-12-04;;
2011-12-05;;
2011-12-06;;
2011-12-07;;
2011-12-08;;
2011-12-09;;
2011-12-10;;
2011-12-11;;
2011-12-12;;
2011-12-13;;
2011-12-14;;
2011-12-15;;
2011-12-16;;
2011-12-17;;
2011-12-18;;
2011-12-19;;
2011-12-20;;
2011-12-21;;
2011-12-22;;
2011-12-23;;
2011-12-24;;
2011-12-25;;
2011-12-26;;
2011-12-27;;
2011-12-28;;
2011-12-29;;
2011-12-30;;
2011-12-31;;
2012-01-01;;
2012-01-02;;
2012-01-03;;
2012-01-04;;
2012-01-05;;
2012-01-06;;
2012-01-07;;
2012-01-08;;
2012-01-09;;
2012-01-10;;
2012-01-11;;
2012-01-12;;
2012-01-13;;
2012-01-14;;
2012-01-15;;
2012-01-16;;
2012-01-17;;
2012-01-18;;
2012-01-19;;
2012-01-20;;
2012-01-21;;
2012-01-22;;
2012-01-23;;
2012-01-24;;
2012-01-25;;
2012-01-26;;
2012-01-27;;
2012-01-28;;
2012-01-29;;
2012-01-30;;
2012-01-31;;
2012-02-01;;
2012-02-02;;
2012-02-03;;
2012-02-04;;
2012-02-05;;
2012-02-06;;
2012-02-07;;
2012-02-08;;
2012-02-09;;
2012-02-10;;
2012-02-11;;
2012-02-12;;
2012-02-13;;
2012-02-14;;
2012-02-15;;
2012-02-16;;
2012-02-17;;
2012-02-18;;
2012-02-19;;
2012-02-20;;
2012-02-21;;
2012-02-22;;
2012-02-23;;
2012-02-24;;
2012-02-25;;
2012-02-26;;
2012-02-27;;
2012-02-28;204;
2012-02-29;;
2012-03-01;;
2012-03-02;;
2012-03-03;;
2012-03-04;;
2012-03-05;;
2012-03-06;;
2012-03-07;;
2012-03-08;;
2012-03-09;460;
2012-03-10;;
2012-03-11;;
2012-03-12;;
2012-03-13;;
2012-03-14;;
2012-03-15;;
2012-03-16;728;
2012-03-17;678;
2012-03-18;570;
2012-03-19;448;
2012-03-20;225;
2012-03-21;421;
2012-03-22;653;
2012-03-23;1035;
2012-03-24;1081;
2012-03-25;848;
2012-03-26;700;
2012-03-27;572;
2012-03-28;537;
2012-03-29;1263;
2012-03-30;1238;
2012-03-31;1041;
2012-04-01;834;
2012-04-02;674;
2012-04-03;603;
2012-04-04;539;
2012-04-05;490;
2012-04-06;;
2012-04-07;;
